# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 727K of event 'cycles'
# Event count (approx.): 421628435506
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     2.00%  server   [kernel.kallsyms]    [k] _raw_spin_lock_irqsave                    
     1.97%  server   [kernel.kallsyms]    [k] copy_msghdr_from_user                     
     1.95%  server   [kernel.kallsyms]    [k] _raw_spin_lock                            
     1.79%  server   [kernel.kallsyms]    [k] __fget                                    
     1.70%  server   [kernel.kallsyms]    [k] sys_epoll_ctl                             
     1.64%  server   [kernel.kallsyms]    [k] copy_user_enhanced_fast_string            
     1.36%  server   libpthread-2.19.so   [.] 0x000000000000b7ee                        
     1.35%  server   [kernel.kallsyms]    [k] mutex_spin_on_owner.isra.3                
     1.30%  server   [kernel.kallsyms]    [k] osq_lock                                  
     1.20%  server   libpthread-2.19.so   [.] 0x000000000000a47a                        
     1.10%  server   [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath          
     0.96%  server   libc-2.19.so         [.] 0x000000000007e825                        
     0.77%  server   [kernel.kallsyms]    [k] kmem_cache_free                           
     0.76%  server   [kernel.kallsyms]    [k] kfree                                     
     0.76%  server   [kernel.kallsyms]    [k] _raw_spin_lock_bh                         
     0.73%  server   [kernel.kallsyms]    [k] tcp_ack                                   
     0.71%  server   [kernel.kallsyms]    [k] sock_poll                                 
     0.69%  server   [kernel.kallsyms]    [k] __udp4_lib_lookup                         
     0.67%  server   [kernel.kallsyms]    [k] __slab_free                               
     0.65%  server   [kernel.kallsyms]    [k] ep_send_events_proc                       
     0.65%  server   [kernel.kallsyms]    [k] try_to_wake_up                            
     0.64%  server   [kernel.kallsyms]    [k] entry_SYSCALL_64                          
     0.63%  server   [kernel.kallsyms]    [k] cmpxchg_double_slab.isra.57               
     0.63%  server   [kernel.kallsyms]    [k] ___sys_recvmsg                            
     0.63%  server   [kernel.kallsyms]    [k] entry_SYSCALL_64_after_swapgs             
     0.60%  server   [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore               
     0.60%  server   [kernel.kallsyms]    [k] __inet_lookup_established                 
     0.58%  server   [kernel.kallsyms]    [k] idle_cpu                                  
     0.58%  server   [kernel.kallsyms]    [k] update_cfs_shares                         
     0.57%  server   [kernel.kallsyms]    [k] __local_bh_enable_ip                      
     0.57%  server   [kernel.kallsyms]    [k] update_curr                               
     0.55%  server   libc-2.19.so         [.] 0x00000000000827c4                        
     0.54%  server   libpthread-2.19.so   [.] 0x000000000000a417                        
     0.53%  server   [kernel.kallsyms]    [k] fib_table_lookup                          
     0.51%  server   [kernel.kallsyms]    [k] __netif_receive_skb_core                  
     0.49%  server   [kernel.kallsyms]    [k] fput                                      
     0.45%  server   libc-2.19.so         [.] 0x000000000007f4b6                        
     0.45%  server   [kernel.kallsyms]    [k] enqueue_entity                            
     0.45%  server   server               [.] 0x000000000000ddf4                        
     0.43%  server   [kernel.kallsyms]    [k] tcp_poll                                  
     0.43%  server   libc-2.19.so         [.] 0x0000000000082794                        
     0.42%  server   [kernel.kallsyms]    [k] tcp_recvmsg                               
     0.42%  server   [kernel.kallsyms]    [k] __skb_recv_datagram                       
     0.41%  server   [kernel.kallsyms]    [k] select_idle_sibling                       
     0.41%  server   [kernel.kallsyms]    [k] __enqueue_entity                          
     0.41%  server   [kernel.kallsyms]    [k] dst_release                               
     0.40%  server   [kernel.kallsyms]    [k] ip_finish_output2                         
     0.40%  server   [kernel.kallsyms]    [k] udp_recvmsg                               
     0.38%  server   [kernel.kallsyms]    [k] __dev_queue_xmit                          
     0.38%  server   [kernel.kallsyms]    [k] ip_rcv                                    
     0.37%  server   [kernel.kallsyms]    [k] tcp_transmit_skb                          
     0.36%  server   server               [.] 0x0000000000008f03                        
     0.36%  server   [kernel.kallsyms]    [k] __slab_alloc                              
     0.36%  server   [kernel.kallsyms]    [k] __fget_light                              
     0.35%  server   [kernel.kallsyms]    [k] sock_def_readable                         
     0.35%  server   libc-2.19.so         [.] 0x000000000007f3d0                        
     0.34%  server   [kernel.kallsyms]    [k] rb_insert_color                           
     0.34%  server   [kernel.kallsyms]    [k] smp_call_function_many                    
     0.34%  server   [kernel.kallsyms]    [k] enqueue_task_fair                         
     0.33%  server   [kernel.kallsyms]    [k] __ip_append_data.isra.42                  
     0.33%  server   [kernel.kallsyms]    [k] kmem_cache_alloc                          
     0.33%  server   [kernel.kallsyms]    [k] ksize                                     
     0.33%  server   [kernel.kallsyms]    [k] ep_poll_callback                          
     0.33%  server   [kernel.kallsyms]    [k] udp_sendmsg                               
     0.33%  server   [kernel.kallsyms]    [k] skb_release_data                          
     0.32%  server   [kernel.kallsyms]    [k] page_fault                                
     0.32%  server   [kernel.kallsyms]    [k] __do_softirq                              
     0.32%  server   [kernel.kallsyms]    [k] sock_def_write_space                      
     0.32%  server   [kernel.kallsyms]    [k] __wake_up_common                          
     0.32%  server   [kernel.kallsyms]    [k] futex_wake                                
     0.32%  server   server               [.] 0x0000000000009196                        
     0.32%  server   [kernel.kallsyms]    [k] __ip_route_output_key                     
     0.31%  server   [kernel.kallsyms]    [k] select_task_rq_fair                       
     0.31%  server   [kernel.kallsyms]    [k] flush_tlb_func                            
     0.31%  server   libc-2.19.so         [.] 0x000000000007f121                        
     0.29%  server   libc-2.19.so         [.] 0x0000000000082e2f                        
     0.29%  server   [kernel.kallsyms]    [k] check_preempt_wakeup                      
     0.29%  server   [kernel.kallsyms]    [k] kmem_cache_alloc_node                     
     0.29%  server   [kernel.kallsyms]    [k] tcp_v4_rcv                                
     0.28%  server   [kernel.kallsyms]    [k] __alloc_skb                               
     0.28%  server   [kernel.kallsyms]    [k] futex_wait_setup                          
     0.28%  server   [kernel.kallsyms]    [k] inet_recvmsg                              
     0.28%  server   libc-2.19.so         [.] 0x000000000007f091                        
     0.27%  server   [kernel.kallsyms]    [k] cpuacct_charge                            
     0.26%  server   [kernel.kallsyms]    [k] __sk_mem_reclaim                          
     0.26%  server   [kernel.kallsyms]    [k] inet_csk_accept                           
     0.25%  server   [kernel.kallsyms]    [k] sock_alloc_send_pskb                      
     0.25%  server   libc-2.19.so         [.] 0x000000000010818f                        
     0.25%  server   server               [.] 0x000000000000e057                        
     0.25%  server   [kernel.kallsyms]    [k] mutex_lock                                
     0.25%  server   [kernel.kallsyms]    [k] account_entity_enqueue                    
     0.25%  server   libc-2.19.so         [.] 0x000000000007efc2                        
     0.25%  server   [kernel.kallsyms]    [k] net_rx_action                             
     0.25%  server   libc-2.19.so         [.] 0x000000000007f026                        
     0.24%  server   [kernel.kallsyms]    [k] native_write_msr_safe                     
     0.24%  server   [kernel.kallsyms]    [k] __schedule                                
     0.24%  server   [kernel.kallsyms]    [k] __udp4_lib_rcv                            
     0.24%  server   server               [.] 0x0000000000007254                        
     0.24%  server   [kernel.kallsyms]    [k] effective_load.isra.40                    
     0.24%  server   [kernel.kallsyms]    [k] __sk_mem_schedule                         
     0.24%  server   [kernel.kallsyms]    [k] clear_page_c_e                            
     0.24%  server   [kernel.kallsyms]    [k] get_futex_key                             
     0.23%  server   [kernel.kallsyms]    [k] ip_idents_reserve                         
     0.23%  server   [kernel.kallsyms]    [k] get_futex_key_refs.isra.12                
     0.23%  server   [kernel.kallsyms]    [k] __call_rcu_nocb_enqueue                   
     0.23%  server   [kernel.kallsyms]    [k] mod_timer                                 
     0.22%  server   [kernel.kallsyms]    [k] sock_rfree                                
     0.22%  server   [kernel.kallsyms]    [k] __kmalloc_node_track_caller               
     0.22%  server   [kernel.kallsyms]    [k] rb_erase                                  
     0.22%  server   [kernel.kallsyms]    [k] enqueue_to_backlog                        
     0.22%  server   [kernel.kallsyms]    [k] ip_queue_xmit                             
     0.22%  server   libc-2.19.so         [.] 0x000000000007e8c6                        
     0.22%  server   libc-2.19.so         [.] 0x00000000001081f2                        
     0.22%  server   libc-2.19.so         [.] 0x000000000007fef8                        
     0.21%  server   libc-2.19.so         [.] 0x00000000000fb4ad                        
     0.21%  server   [kernel.kallsyms]    [k] rw_copy_check_uvector                     
     0.21%  server   [kernel.kallsyms]    [k] sock_wfree                                
     0.20%  server   libc-2.19.so         [.] 0x0000000000080489                        
     0.20%  server   [kernel.kallsyms]    [k] raw_local_deliver                         
     0.20%  server   libc-2.19.so         [.] 0x000000000007e7ef                        
     0.20%  server   [kernel.kallsyms]    [k] tcp_write_xmit                            
     0.19%  server   server               [.] 0x000000000000ebec                        
     0.19%  server   libpthread-2.19.so   [.] 0x000000000000ef30                        
     0.19%  server   [kernel.kallsyms]    [k] ip_local_deliver_finish                   
     0.19%  server   [kernel.kallsyms]    [k] __switch_to                               
     0.19%  server   [kernel.kallsyms]    [k] do_futex                                  
     0.19%  server   server               [.] 0x00000000000083f0                        
     0.19%  server   [kernel.kallsyms]    [k] __ip_make_skb                             
     0.19%  server   [kernel.kallsyms]    [k] ttwu_stat                                 
     0.18%  server   libc-2.19.so         [.] 0x000000000007e92e                        
     0.18%  server   [kernel.kallsyms]    [k] netif_skb_features                        
     0.18%  server   libc-2.19.so         [.] 0x000000000007f179                        
     0.18%  server   [kernel.kallsyms]    [k] __percpu_counter_add                      
     0.18%  server   [kernel.kallsyms]    [k] hash_futex                                
     0.18%  server   [kernel.kallsyms]    [k] move_addr_to_user                         
     0.18%  server   [kernel.kallsyms]    [k] import_iovec                              
     0.18%  server   [kernel.kallsyms]    [k] process_backlog                           
     0.17%  server   [kernel.kallsyms]    [k] update_min_vruntime                       
     0.17%  server   [kernel.kallsyms]    [k] entry_SYSCALL_64_fastpath                 
     0.17%  server   [kernel.kallsyms]    [k] __tcp_get_metrics                         
     0.17%  server   [kernel.kallsyms]    [k] tcp_rcv_state_process                     
     0.17%  server   server               [.] 0x000000000000ec05                        
     0.16%  server   [kernel.kallsyms]    [k] sockfd_lookup_light                       
     0.16%  server   server               [.] 0x000000000000b478                        
     0.16%  server   [kernel.kallsyms]    [k] ip_output                                 
     0.16%  server   [kernel.kallsyms]    [k] __call_rcu                                
     0.16%  server   server               [.] 0x000000000000b1e7                        
     0.16%  server   [kernel.kallsyms]    [k] unmap_page_range                          
     0.16%  server   [kernel.kallsyms]    [k] ipv4_mtu                                  
     0.16%  server   [kernel.kallsyms]    [k] get_empty_filp                            
     0.16%  server   [kernel.kallsyms]    [k] _find_next_bit.part.0                     
     0.15%  server   [kernel.kallsyms]    [k] del_timer                                 
     0.15%  server   [kernel.kallsyms]    [k] __sys_recvmsg                             
     0.15%  server   [kernel.kallsyms]    [k] kmem_cache_alloc_trace                    
     0.15%  server   [kernel.kallsyms]    [k] inet_put_port                             
     0.15%  server   server               [.] 0x000000000000e95f                        
     0.15%  server   [kernel.kallsyms]    [k] inet_accept                               
     0.15%  server   [kernel.kallsyms]    [k] sys_futex                                 
     0.15%  server   [kernel.kallsyms]    [k] task_waking_fair                          
     0.15%  server   [kernel.kallsyms]    [k] mutex_optimistic_spin                     
     0.15%  server   [kernel.kallsyms]    [k] native_read_tsc                           
     0.15%  server   [kernel.kallsyms]    [k] native_sched_clock                        
     0.14%  server   [kernel.kallsyms]    [k] sk_stop_timer                             
     0.14%  server   [kernel.kallsyms]    [k] dev_hard_start_xmit                       
     0.14%  server   [kernel.kallsyms]    [k] udp_send_skb                              
     0.14%  server   [kernel.kallsyms]    [k] tcp_close                                 
     0.14%  server   [kernel.kallsyms]    [k] loopback_xmit                             
     0.14%  server   [kernel.kallsyms]    [k] get_futex_value_locked                    
     0.14%  server   [kernel.kallsyms]    [k] futex_wait_queue_me                       
     0.13%  server   [kernel.kallsyms]    [k] sock_queue_rcv_skb                        
     0.13%  server   [kernel.kallsyms]    [k] __calc_delta                              
     0.13%  server   [kernel.kallsyms]    [k] __bitmap_intersects                       
     0.13%  server   [kernel.kallsyms]    [k] ep_remove                                 
     0.13%  server   [kernel.kallsyms]    [k] __get_user_4                              
     0.13%  server   [kernel.kallsyms]    [k] get_page_from_freelist                    
     0.13%  server   [kernel.kallsyms]    [k] check_preempt_curr                        
     0.13%  server   [kernel.kallsyms]    [k] futex_wait                                
     0.12%  server   libc-2.19.so         [.] 0x00000000000802d0                        
     0.12%  server   libc-2.19.so         [.] 0x000000000008054b                        
